Office,Address,State,Country,Company
Tokyo,"<span itemprop=""streetAddress"">Shibuya Stream, 3-21-3 Shibuya-ku</span>",,Japan,Google
Kuala Lumpur,"<span itemprop=""streetAddress"">axiata tower, Kuala Lumpur Sentral</span>",,Malaysia,Google
Ciudad de México,"<span itemprop=""streetAddress"">Google Mexico, S. de R.L. de C.V.
Montes Urales 445
Lomas de Chapultepec</span>",,Mexico,Google
Amsterdam,"<span itemprop=""streetAddress"">Claude Debussylaan 34</span>",,Netherlands,Google
Oslo,"<span itemprop=""streetAddress"">Bryggegata 6</span>",,Norway,Google
Warszawa,"<span itemprop=""streetAddress"">Emilii Plater 53</span>",,Poland,Google
Wrocław,"<span itemprop=""streetAddress"">Gen. Jozefa Bema nr 2</span>",,Poland,Google
Lisboa,"<span itemprop=""streetAddress"">Av. da Liberdade 110</span>",,Portugal,Google
Moskva,"<span itemprop=""streetAddress"">Balchug Plaza, Balchug Street, 7</span>",,Russian Federation,Google
Singapore,"<span itemprop=""streetAddress"">70 Pasir Panjang Road, #03-71, 
Mapletree Business City</span>",,Singapore,Google
Johannesburg,"<span itemprop=""streetAddress"">35 Ballyclare Drive Building E</span>",,South Africa,Google
Seoul,"<span itemprop=""streetAddress"">22nd Floor, Gangnam Finance Center
152 Teheran-ro, Gangnam-gu</span>",,Korea (Republic of),Google
Madrid,"<span itemprop=""streetAddress"">Plaza Pablo Ruiz Picasso, I</span>",,Spain,Google
Stockholm,"<span itemprop=""streetAddress"">Kungsbron 2</span>",,Sweden,Google
Zürich,"<span itemprop=""streetAddress"">Google Building 110, Brandschenkestrasse 110</span>",,Switzerland,Google
New Taipei City,"<span itemprop=""streetAddress"">Banqiao District, New Taipei City</span>",,"Taiwan, Province of China",Google
Taipei,"<span itemprop=""streetAddress"">No. 7 XinYi Road Section 5</span>",,"Taiwan, Province of China",Google
Bangkok,"<span itemprop=""streetAddress"">57 Park Ventures Ecoplex
14th Floor, Wireless Road</span>",,Thailand,Google
Istanbul,"<span itemprop=""streetAddress"">Eski Buyukdere Caddesi No: 209</span>",,Turkey,Google
Dubai,"<span itemprop=""streetAddress"">TECOM Zone, Dubai Internet City</span>",,United Arab Emirates,Google
London,"<span itemprop=""streetAddress"">1-13 St Giles High St</span>",,United Kingdom,Google
London,"<span itemprop=""streetAddress"">6 Pancras Square</span>",,United Kingdom,Google
London,"<span itemprop=""streetAddress"">Belgrave House
76 Buckingham Palace Road</span>",,United Kingdom,Google
